"model_name","model_type","origin","set_number","set_number_variant","creature_name","creature_type_code","creature_subtype_code","creature_size","base_diameter_inches","num_owned"
"Glabrezu","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",25,,"Glabrezu",8,67,"large",2,3
"Gnoll Fang of Yeenoghu","Wizkids Pre-painted","Icons of the Realms - Snowbound",19,,"Gnoll",8,,"medium",1,1
"Goristro","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",31,,"Goristro",8,67,"huge",3,2
"Haruman","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",39,,"Narzugon",8,68,"medium",1,1
"Imp","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",2,,"Imp",8,68,"tiny",0.75,2
"Incubus","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",36,,"Incubus",8,,"medium",1,1
"Legion Barbed Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",6,,"Barbed Devil",8,68,"medium",1,4
"Legion Barbed Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",16,,"Barbed Devil",8,68,"medium",1,2
"Legion Bearded Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",21,"B","Bearded Devil",8,68,"medium",1,1
"Legion Bearded Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",21,"A","Bearded Devil",8,68,"medium",1,1
"Legion Bone Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",42,,"Bone Devil",8,68,"large",2,2
"Legion Chain Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",33,,"Chain Devil",8,68,"medium",1,1
"Legion Erinyes","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",23,,"Erinyes",8,68,"medium",1,2
"Legion Horned Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",30,,"Horned Devil",8,68,"large",2,2
"Legion Ice Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",29,,"Ice Devil",8,68,"large",2,3
"Legion Imp","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",11,,"Imp",8,68,"tiny",0.75,3
"Legion Spined Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",3,,"Spined Devil",8,68,"small",0.75,2
"Legion Spined Devil","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",15,,"Spined Devil",8,68,"small",0.75,5
"Lemure","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",4,,"Lemure",8,68,"medium",1,3
"Mad Maggie","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",37,,"Night Hag",8,,"medium",1,2
"Mahadi","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",24,,"Rakshasa",8,,"medium",1,2
"Marilith","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",41,,"Marilith",8,67,"large",2,1
"Maw Demon","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",20,,"Maw Demon",8,67,"medium",1,2
"Merregon","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",13,,"Merregon",8,68,"medium",1,2
"Merregon","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",17,,"Merregon",8,68,"medium",1,4
"Merrenoloth","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",10,,"Merrenoloth",8,69,"medium",1,3
"Nalfeshnee","Wizkids Unpainted","Nolzur''s Marvelous Miniatures",,,"Nalfeshnee",8,67,"large",2,1
"Narzugon","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",45,,"Narzugon",8,68,"medium",1,3
"Narzugon and Nightmare","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",44,,"Nightmare",8,,"large",2,3
"Night Hag","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",23,,"Night Hag",8,,"medium",1,2
"Night Hag","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",9,,"Night Hag",8,,"medium",1,1
"Nightmare","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",29,,"Nightmare",8,,"large",2,1
"Nightmare","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",31,,"Nightmare",8,,"large",2,1
"Nupperibo","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",18,,"Nupperibo",8,68,"medium",1,2
"Red Abishai","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",40,,"Red Abishai",8,68,"medium",1,1
"Sibriex","Wizkids Pre-painted","Icons of the Realms - Boneyard",42,,"Sibriex",8,67,"huge",3,1
"Ultroloth","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",34,,"Ultroloth",8,69,"medium",1,1
"Vargouille","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",3,,"Vargouille",8,,"tiny",0.75,1
"Vargouille","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",14,,"Vargouille",8,,"tiny",0.75,1
"White Abishai","Wizkids Pre-painted","Icons of the Realms - Arkhan the Cruel and the Dark Order",6,,"White Abishai",8,68,"medium",1,1
"Yagnoloth","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",28,,"Yagnoloth",8,69,"large",2,2
"Yeenoghu''s Barlgura","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",27,,"Barlgura",8,67,"large",2,2
"Yeenoghu''s Dretch","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",12,,"Dretch",8,67,"small",0.75,1
"Yeenoghu''s Hezrou","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",26,,"Hezrou",8,67,"large",2,4
"Yeenoghu''s Quasit","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",1,,"Quasit",8,67,"tiny",0.75,5
"Zariel","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",43,,"Archdevil",8,68,"large",2,1
"Cyclops","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",45,,"Cyclops",9,,"huge",3,2
"Cyclops","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",26,"B","Cyclops",9,,"huge",3,1
"Dire Troll","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",32,,"Dire Troll",9,70,"huge",3,2
"Fire Giant","Wizkids Pre-painted","Pathfinder Battles - Legendary Adventures",28,,"Fire Giant",9,76,"large",2,1
"Fomorian","Wizkids Pre-painted","Icons of the Realms - Snowbound",31,,"Fomorian",9,,"huge",3,1
"Frost Giant","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",27,,"Frost Giant",9,77,"large",2,2
"Frost Giant","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",31,,"Frost Giant",9,77,"huge",3,2
"Frost Giant","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",32,,"Frost Giant",9,77,"huge",3,1
"Half-Ogre","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",25,"B","Half-Ogre",9,71,"large",2,2
"Hill Giant","Wizkids Pre-painted","Icons of the Realms - Snowbound",32,,"Hill Giant",9,74,"huge",3,2
"Hill Giant","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",28,"B","Hill Giant",9,74,"huge",3,1
"Hill Giant","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",28,"A","Hill Giant",9,74,"huge",3,1
"Ice Troll","Wizkids Pre-painted","Icons of the Realms - Snowbound",26,,"Ice Troll",9,70,"large",2,2
"Ogre Bolt Launcher","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",32,"B","Ogre",9,71,"large",2,2
"Ogre Mage","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",25,,"Ogre Mage",9,71,"large",2,1
"Storm Giant","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",44,,"Storm Giant",9,73,"huge",3,1
"Venom Troll","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",30,,"Venom Troll",9,70,"large",2,1
"Afflicted Elf","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Green Dragon Wyrmling & Afflicted Elf",,,"Elf",10,8,"medium",1,1
"Akroan Hoplite","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",2,,"Human",10,14,"medium",1,3
"Aldani","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",13,,"Aldani",10,,"medium",1,1
"Apprentice Wizard","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",8,"A","Human",10,14,"medium",1,1
"Apprentice Wizard","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",8,"B","Human",10,14,"medium",1,1
"Arkhan the Cruel","Wizkids Pre-painted","icons of the Realms - Arkhan the Cruel and the Dark Order",5,,"Dragonborn",10,5,"medium",1,1
"Arkhan''s Berserker","Wizkids Pre-painted","icons of the Realms - Arkhan the Cruel and the Dark Order",4,,"Human",10,14,"medium",1,1
"Artus Cimber","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",22,,"Human",10,14,"medium",1,1
"Asharra","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",23,,"Aarakocra",10,1,"medium",1,1
"Autumn Eladrin","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",19,,"Eladrin",10,8,"medium",1,2
"Batiri Goblin","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",15,,"Goblin",10,20,"small",0.75,1
"Batiri Goblin","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",2,,"Goblin",10,20,"small",0.75,2
"Berserker","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",17,,"Human",10,14,"medium",1,1
"Bryn Lightfingers","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",21,,"Halfling",10,23,"small",0.75,3
"Bugbear","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",12,,"Bugbear",10,21,"medium",1,2
"Bugbear","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",17,,"Bugbear",10,21,"medium",1,1
"Bugbear","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",21,,"Bugbear",10,21,"medium",1,2
"Bullywug","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",5,,"Bullywug",10,3,"medium",1,2
"Bullywug","Wizkids Pre-painted","Icons of the Realms - Snowbound",10,,"Bullywug",10,3,"medium",1,2
"Bullywug Croaker","Wizkids Pre-painted","Icons of the Realms - Snowbound",21,,"Bullywug",10,3,"medium",1,2
"Bullywug Royal","Wizkids Pre-painted","Icons of the Realms - Snowbound",42,,"Bullywug",10,3,"medium",1,1
"Changeling","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",18,,"Changeling",10,4,"medium",1,2
"Chardalyn Berserker","Wizkids Pre-painted","Icons of the Realms - Snowbound",1,,"Human",10,14,"medium",1,3
"City Guard","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",4,"B","Human",10,14,"medium",1,2
"City Watch","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",7,"A","Human",10,14,"medium",1,1
"City Watch","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",7,"B","Human",10,14,"medium",1,2
"Dalakos Crafter of Wonders","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",37,,"Triton",10,41,"medium",1,2
"Derro","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",2,,"Derro",10,10,"small",0.75,2
"Dragonborn Draconic Sorcerer","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",12,"B","Dragonborn",10,5,"medium",1,1
"Dragonborn Fighter","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",20,"A","Dragonborn",10,5,"medium",1,1
"Drow Archmage","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",23,,"Drow",10,8,"medium",1,3
"Drow Captain","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",16,,"Drow",10,8,"medium",1,3
"Drow Elite Warrior","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",6,,"Drow",10,8,"medium",1,3
"Drow Scout","Wizkids Pre-painted","Icons of the Realms - Rage of Demons",13,,"Drow",10,8,"medium",1,3
"Duergar Mind Master","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",6,,"Duergar",10,6,"medium",1,4
"Dwarf Artificer","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",7,,"Dwarf",10,6,"medium",1,3
"Dwarf Champion","Wizkids Pre-painted","Pathfinder Battles - Legendary Adventures",18,,"Dwarf",10,6,"medium",1,1
"Dwarf Magewright","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",10,,"Dwarf",10,6,"medium",1,3
"Elf Fighter","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",11,,"Elf",10,8,"medium",1,1
"Falaster Fisk","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",8,,"Human",10,14,"medium",1,5
"Fire Genasi Fighter","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",16,,"Fire Genasi",10,2,"medium",1,2
"Firenewt","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",12,"B","Firenewt",10,11,"medium",1,1
"Flind Trapper","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",18,,"Gnoll",10,9,"medium",1,3
"Gloom Weaver","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",18,,"Shadar-Kai",10,8,"medium",1,2
"Gnoll","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",3,,"Gnoll",10,9,"medium",1,3
"Gnoll","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",7,,"Gnoll",10,9,"medium",1,1
"Gnoll","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",20,"B","Gnoll",10,9,"medium",1,1
"Gnoll","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",20,"A","Gnoll",10,9,"medium",1,2
"Gnoll Hunter","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",24,"A","Gnoll",10,9,"medium",1,1
"Gnoll Pack Leader","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",15,,"Gnoll",10,9,"medium",1,2
"Gnome Inquisitive","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",11,,"Gnome",10,24,"small",0.75,2
"Gnome Wizard","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",11,"A","Gnome",10,24,"small",0.75,1
"Gnome Wizard","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",11,"B","Gnome",10,24,"small",0.75,1
"Goblin","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",3,,"Goblin",10,20,"small",0.75,4
"Goblin","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",6,,"Goblin",10,20,"small",0.75,1
"Goblin Fighter","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",6,,"Goblin",10,20,"small",0.75,1
"Goliath Barbarian","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",8,,"Goliath",10,17,"medium",1,2
"Goliath Fighter","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",1,,"Goliath",10,17,"medium",1,3
"Goliath Fighter","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",14,,"Goliath",10,17,"medium",1,2
"Half Black Dragon Lord","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",33,,"Half-dragon",10,,"medium",1,1
"Half-orc Barbarian","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",19,,"Half-orc",10,15,"medium",1,1
"Halfling","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Silver Dragon Wyrmling & Halfling",,,"Halfling",10,23,"small",0.75,1
"Halfling Rogue Invisible","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",4,,"Halfling",10,23,"small",0.75,1
"Hobgoblin","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",18,"B","Hobgoblin",10,46,"medium",1,1
"Hobgoblin Sharpshooter","Wizkids Pre-painted","Pathfinder Battles - Legendary Adventures",13,,"Hobgoblin",10,46,"medium",1,1
"Hommet Shaw","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",22,,"Human",10,14,"medium",1,1
"Hommet Shaw Invisible","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",22,,"Human",10,14,"medium",1,1
"Human Artificer","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",22,,"Human",10,14,"medium",1,2
"Human Hunter","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",2,,"Human",10,14,"medium",1,2
"Human Monk","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",10,,"Human",10,14,"medium",1,2
"Human Paladin","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",13,,"Human",10,14,"medium",1,4
"Human Paladin","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",8,,"Human",10,14,"medium",1,1
"Human Storm Sorcerer","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",24,,"Human",10,14,"medium",1,1
"Human Sun Soul Monk","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",11,,"Human",10,14,"medium",1,1
"Human Trapper","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",15,,"Human",10,14,"medium",1,1
"Human Warlock of the Fiend","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",20,"A","Human",10,14,"medium",1,1
"Human Wizard","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",17,,"Human",10,14,"medium",1,1
"Human Zhentarim Bandit","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",11,,"Human",10,14,"medium",1,1
"Illydia Maethellyn","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",24,,"Elf",10,8,"medium",1,3
"Jackalwere","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Jackalwere",1,,"Jackalwere",10,45,"medium",1,1
"Jackalwere","Wizkids Unpainted","Nolzur''s Marvelous Miniatures - Jackalwere",2,,"Jackalwere",10,45,"medium",1,1
"Jarhild Stoneforge","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",5,,"Dwarf",10,6,"medium",1,1
"Kalashtar","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",5,,"Kalashtar",10,27,"medium",1,3
"Kalashtar","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",6,,"Kalashtar",10,27,"medium",1,2
"Kobold","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",2,,"Kobold",10,29,"small",0.75,2
"Kobold","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",5,,"Kobold",10,29,"small",0.75,2
"Kobold Inventor","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",2,,"Kobold",10,29,"small",0.75,3
"Kobold Mountaineer","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",12,,"Kobold",10,29,"small",0.75,1
"Kobold Scale Sorcerer","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",24,"A","Kobold",10,29,"small",0.75,1
"Kraken Priest","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",12,,"Kraken Priest",10,14,"medium",1,1
"Krull","Wizkids Pre-painted","icons of the Realms - Arkhan the Cruel and the Dark Order",2,,"Tortle",10,13,"medium",1,1
"Kuo-toa","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",8,,"Kuo-toa",10,30,"medium",1,1
"Kuo-toa Whip","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",17,,"Kuo-toa",10,30,"medium",1,2
"Larethar Gulgrin","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 1",6,,"Dwarf",10,6,"medium",1,4
"Leonin Iconoclast","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",23,,"Leonin",10,31,"medium",1,3
"Leonin Swiftclaw","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",10,,"Leonin",10,31,"medium",1,2
"Lightfoot Halfling Rogue Invisible","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",51,,"Halfling",10,23,"small",0.75,1
"Lizardfolk","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",9,,"Lizardfolk",10,32,"medium",1,2
"Lizardfolk","Wizkids Pre-painted","Icons of the Realms - Snowbound - Pre-order Bonus",,,"Lizardfolk",10,32,"medium",1,2
"Lizardfolk Shaman","Wizkids Pre-painted","Icons of the Realms - Snowbound - Pre-order Bonus",,,"Lizardfolk",10,32,"medium",1,1
"Locathah","Wizkids Pre-painted","Icons of the Realms - Snowbound",25,,"Locathah",10,33,"medium",1,2
"Manshoon","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",37,,"Human",10,14,"medium",1,1
"Meazel","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",13,,"Meazel",10,,"medium",1,4
"Minsc and Boo","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",40,,"Human",10,14,"medium",1,1
"Minsc and Boo Invisible","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",40,,"Human",10,14,"medium",1,1
"Nameless One","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",40,,"Human",10,14,"medium",1,1
"Nameless One Invisible","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",40,,"Human",10,14,"medium",1,1
"Nass Lantomir","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",38,,"Human",10,14,"medium",1,2
"Noble","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",5,"A","Human",10,14,"medium",1,1
"Oracle","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",3,,"Human",10,14,"medium",1,2
"Orc","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",7,,"Orc",10,22,"medium",1,2
"Orc","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",8,"A","Orc",10,22,"medium",1,1
"Orc","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",8,"B","Orc",10,22,"medium",1,1
"Orc","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",16,,"Orc",10,22,"medium",1,1
"Orc Brawler","Wizkids Pre-painted","Pathfinder Battles - Legendary Adventures",9,,"Orc",10,22,"medium",1,1
"Orc Claw of Luthic","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",5,,"Orc",10,22,"medium",1,2
"Orc Fighter","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",10,,"Orc",10,22,"medium",1,2
"Orog Ranger","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",7,,"Orc",10,22,"medium",1,2
"Oyaminartok the Goliath Werebear","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",26,,"Werebear",10,45,"large",2,2
"Qawasha","Wizkids Pre-painted","Icons of the Realms - Tomb of Annihilation",7,"A","Human",10,14,"medium",1,2
"Quaggoth","Wizkids Pre-painted","Icons of the Realms - Snowbound",24,,"Quaggoth",10,35,"medium",1,1
"Reghed Nomad with Cage","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",1,,"Human",10,14,"medium",1,2
"Reghed Nomad with Spear","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",14,,"Human",10,14,"medium",1,3
"Renaer Neverember","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",19,,"Human",10,14,"medium",1,1
"Reya Mantlemorn","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",7,,"Human",10,14,"medium",1,3
"Sahuagin","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 2",13,,"Sahuagin",10,36,"medium",1,1
"Scarla Truestrike","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",22,,"Halfling",10,23,"small",0.75,2
"Sea Spawn","Wizkids Pre-painted","Icons of the Realms - Monster Menagerie 3",23,,"Sea Spawn",10,,"medium",1,1
"Shadow Dancer","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",23,,"Shadar-Kai",10,8,"medium",1,3
"Shifter Artificer","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",11,,"Shifter",10,38,"medium",1,2
"Shifter Druid","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",19,,"Shifter",10,38,"medium",1,2
"Shifter Rogue","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",3,,"Shifter",10,38,"medium",1,2
"Shifter Rogue","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",16,,"Shifter",10,38,"medium",1,1
"Skulk","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",12,,"Skulk",10,,"medium",1,1
"Snow Goblin","Wizkids Pre-painted","Icons of the Realms - Icewind Dale: Rime of the Frostmaiden",11,,"Goblin",10,20,"small",0.75,2
"Spring Eladrin","Wizkids Pre-painted","Icons of the Realms - Volo''s & Mordenkainen''s Foes",18,,"Eladrin",10,8,"medium",1,1
"Stona Captain of the Pyleas","Wizkids Pre-painted","Icons of the Realms - Mythic Odysseys of Theros",20,,"Human",10,14,"medium",1,2
"Stoutheart Female Halfling Bard","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",2,,"Halfling",10,23,"small",0.75,1
"Sun Elf Guard","Wizkids Pre-painted","Icons of the Realms - Tyranny of Dragons",9,,"Elf",10,8,"medium",1,1
"Sylvira Savikas","Wizkids Pre-painted","Icons of the Realms - Baldur''s Gate: Descent Into Avernus",34,,"Tiefling",10,19,"medium",1,1
"Tarkanan Assassin","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",8,,"Human",10,14,"medium",1,2
"Thayan Apprentice","Wizkids Pre-painted","Icons of the Realms - Fangs & Talons",20,,"Human",10,14,"medium",1,3
"The Black Viper","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dragon Heist",23,,"Human",10,14,"medium",1,1
"The Lord of Blades","Wizkids Pre-painted","Icons of the Realms - Eberron: Rising from the Last War",37,,"Warforged",10,42,"medium",1,1
"Thug","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",2,,"Human",10,14,"medium",1,3
"Thug Leader","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",15,,"Human",10,14,"medium",1,1
"Tiefling Battlemaster","Wizkids Pre-painted","Icons of the Realms - Waterdeep: Dungeon of the Mad Mage",7,,"Tiefling",10,19,"medium",1,2
